AKQJT	7462	Straight Flush
KQJT9	7461	Straight Flush
QJT98	7460	Straight Flush
JT987	7459	Straight Flush
T9876	7458	Straight Flush
98765	7457	Straight Flush
87654	7456	Straight Flush
76543	7455	Straight Flush
65432	7454	Straight Flush
A5432	7453	Straight Flush
AAAAK	7452	Four of a Kind
AAAAQ	7451	Four of a Kind
AAAAJ	7450	Four of a Kind
AAAAT	7449	Four of a Kind
AAAA9	7448	Four of a Kind
AAAA8	7447	Four of a Kind
AAAA7	7446	Four of a Kind
AAAA6	7445	Four of a Kind
AAAA5	7444	Four of a Kind
AAAA4	7443	Four of a Kind
AAAA3	7442	Four of a Kind
AAAA2	7441	Four of a Kind
AKKKK	7440	Four of a Kind
KKKKQ	7439	Four of a Kind
KKKKJ	7438	Four of a Kind
KKKKT	7437	Four of a Kind
KKKK9	7436	Four of a Kind
KKKK8	7435	Four of a Kind
KKKK7	7434	Four of a Kind
KKKK6	7433	Four of a Kind
KKKK5	7432	Four of a Kind
KKKK4	7431	Four of a Kind
KKKK3	7430	Four of a Kind
KKKK2	7429	Four of a Kind
AQQQQ	7428	Four of a Kind
KQQQQ	7427	Four of a Kind
QQQQJ	7426	Four of a Kind
QQQQT	7425	Four of a Kind
QQQQ9	7424	Four of a Kind
QQQQ8	7423	Four of a Kind
QQQQ7	7422	Four of a Kind
QQQQ6	7421	Four of a Kind
QQQQ5	7420	Four of a Kind
QQQQ4	7419	Four of a Kind
QQQQ3	7418	Four of a Kind
QQQQ2	7417	Four of a Kind
AJJJJ	7416	Four of a Kind
KJJJJ	7415	Four of a Kind
QJJJJ	7414	Four of a Kind
JJJJT	7413	Four of a Kind
JJJJ9	7412	Four of a Kind
JJJJ8	7411	Four of a Kind
JJJJ7	7410	Four of a Kind
JJJJ6	7409	Four of a Kind
JJJJ5	7408	Four of a Kind
JJJJ4	7407	Four of a Kind
JJJJ3	7406	Four of a Kind
JJJJ2	7405	Four of a Kind
ATTTT	7404	Four of a Kind
KTTTT	7403	Four of a Kind
QTTTT	7402	Four of a Kind
JTTTT	7401	Four of a Kind
TTTT9	7400	Four of a Kind
TTTT8	7399	Four of a Kind
TTTT7	7398	Four of a Kind
TTTT6	7397	Four of a Kind
TTTT5	7396	Four of a Kind
TTTT4	7395	Four of a Kind
TTTT3	7394	Four of a Kind
TTTT2	7393	Four of a Kind
A9999	7392	Four of a Kind
K9999	7391	Four of a Kind
Q9999	7390	Four of a Kind
J9999	7389	Four of a Kind
T9999	7388	Four of a Kind
99998	7387	Four of a Kind
99997	7386	Four of a Kind
99996	7385	Four of a Kind
99995	7384	Four of a Kind
99994	7383	Four of a Kind
99993	7382	Four of a Kind
99992	7381	Four of a Kind
A8888	7380	Four of a Kind
K8888	7379	Four of a Kind
Q8888	7378	Four of a Kind
J8888	7377	Four of a Kind
T8888	7376	Four of a Kind
98888	7375	Four of a Kind
88887	7374	Four of a Kind
88886	7373	Four of a Kind
88885	7372	Four of a Kind
88884	7371	Four of a Kind
88883	7370	Four of a Kind
88882	7369	Four of a Kind
A7777	7368	Four of a Kind
K7777	7367	Four of a Kind
Q7777	7366	Four of a Kind
J7777	7365	Four of a Kind
T7777	7364	Four of a Kind
97777	7363	Four of a Kind
87777	7362	Four of a Kind
77776	7361	Four of a Kind
77775	7360	Four of a Kind
77774	7359	Four of a Kind
77773	7358	Four of a Kind
77772	7357	Four of a Kind
A6666	7356	Four of a Kind
K6666	7355	Four of a Kind
Q6666	7354	Four of a Kind
J6666	7353	Four of a Kind
T6666	7352	Four of a Kind
96666	7351	Four of a Kind
86666	7350	Four of a Kind
76666	7349	Four of a Kind
66665	7348	Four of a Kind
66664	7347	Four of a Kind
66663	7346	Four of a Kind
66662	7345	Four of a Kind
A5555	7344	Four of a Kind
K5555	7343	Four of a Kind
Q5555	7342	Four of a Kind
J5555	7341	Four of a Kind
T5555	7340	Four of a Kind
95555	7339	Four of a Kind
85555	7338	Four of a Kind
75555	7337	Four of a Kind
65555	7336	Four of a Kind
55554	7335	Four of a Kind
55553	7334	Four of a Kind
55552	7333	Four of a Kind
A4444	7332	Four of a Kind
K4444	7331	Four of a Kind
Q4444	7330	Four of a Kind
J4444	7329	Four of a Kind
T4444	7328	Four of a Kind
94444	7327	Four of a Kind
84444	7326	Four of a Kind
74444	7325	Four of a Kind
64444	7324	Four of a Kind
54444	7323	Four of a Kind
44443	7322	Four of a Kind
44442	7321	Four of a Kind
A3333	7320	Four of a Kind
K3333	7319	Four of a Kind
Q3333	7318	Four of a Kind
J3333	7317	Four of a Kind
T3333	7316	Four of a Kind
93333	7315	Four of a Kind
83333	7314	Four of a Kind
73333	7313	Four of a Kind
63333	7312	Four of a Kind
53333	7311	Four of a Kind
43333	7310	Four of a Kind
33332	7309	Four of a Kind
A2222	7308	Four of a Kind
K2222	7307	Four of a Kind
Q2222	7306	Four of a Kind
J2222	7305	Four of a Kind
T2222	7304	Four of a Kind
92222	7303	Four of a Kind
82222	7302	Four of a Kind
72222	7301	Four of a Kind
62222	7300	Four of a Kind
52222	7299	Four of a Kind
42222	7298	Four of a Kind
32222	7297	Four of a Kind
AAAKK	7296	Full House
AAAQQ	7295	Full House
AAAJJ	7294	Full House
AAATT	7293	Full House
AAA99	7292	Full House
AAA88	7291	Full House
AAA77	7290	Full House
AAA66	7289	Full House
AAA55	7288	Full House
AAA44	7287	Full House
AAA33	7286	Full House
AAA22	7285	Full House
AAKKK	7284	Full House
KKKQQ	7283	Full House
KKKJJ	7282	Full House
KKKTT	7281	Full House
KKK99	7280	Full House
KKK88	7279	Full House
KKK77	7278	Full House
KKK66	7277	Full House
KKK55	7276	Full House
KKK44	7275	Full House
KKK33	7274	Full House
KKK22	7273	Full House
AAQQQ	7272	Full House
KKQQQ	7271	Full House
QQQJJ	7270	Full House
QQQTT	7269	Full House
QQQ99	7268	Full House
QQQ88	7267	Full House
QQQ77	7266	Full House
QQQ66	7265	Full House
QQQ55	7264	Full House
QQQ44	7263	Full House
QQQ33	7262	Full House
QQQ22	7261	Full House
AAJJJ	7260	Full House
KKJJJ	7259	Full House
QQJJJ	7258	Full House
JJJTT	7257	Full House
JJJ99	7256	Full House
JJJ88	7255	Full House
JJJ77	7254	Full House
JJJ66	7253	Full House
JJJ55	7252	Full House
JJJ44	7251	Full House
JJJ33	7250	Full House
JJJ22	7249	Full House
AATTT	7248	Full House
KKTTT	7247	Full House
QQTTT	7246	Full House
JJTTT	7245	Full House
TTT99	7244	Full House
TTT88	7243	Full House
TTT77	7242	Full House
TTT66	7241	Full House
TTT55	7240	Full House
TTT44	7239	Full House
TTT33	7238	Full House
TTT22	7237	Full House
AA999	7236	Full House
KK999	7235	Full House
QQ999	7234	Full House
JJ999	7233	Full House
TT999	7232	Full House
99988	7231	Full House
99977	7230	Full House
99966	7229	Full House
99955	7228	Full House
99944	7227	Full House
99933	7226	Full House
99922	7225	Full House
AA888	7224	Full House
KK888	7223	Full House
QQ888	7222	Full House
JJ888	7221	Full House
TT888	7220	Full House
99888	7219	Full House
88877	7218	Full House
88866	7217	Full House
88855	7216	Full House
88844	7215	Full House
88833	7214	Full House
88822	7213	Full House
AA777	7212	Full House
KK777	7211	Full House
QQ777	7210	Full House
JJ777	7209	Full House
TT777	7208	Full House
99777	7207	Full House
88777	7206	Full House
77766	7205	Full House
77755	7204	Full House
77744	7203	Full House
77733	7202	Full House
77722	7201	Full House
AA666	7200	Full House
KK666	7199	Full House
QQ666	7198	Full House
JJ666	7197	Full House
TT666	7196	Full House
99666	7195	Full House
88666	7194	Full House
77666	7193	Full House
66655	7192	Full House
66644	7191	Full House
66633	7190	Full House
66622	7189	Full House
AA555	7188	Full House
KK555	7187	Full House
QQ555	7186	Full House
JJ555	7185	Full House
TT555	7184	Full House
99555	7183	Full House
88555	7182	Full House
77555	7181	Full House
66555	7180	Full House
55544	7179	Full House
55533	7178	Full House
55522	7177	Full House
AA444	7176	Full House
KK444	7175	Full House
QQ444	7174	Full House
JJ444	7173	Full House
TT444	7172	Full House
99444	7171	Full House
88444	7170	Full House
77444	7169	Full House
66444	7168	Full House
55444	7167	Full House
44433	7166	Full House
44422	7165	Full House
AA333	7164	Full House
KK333	7163	Full House
QQ333	7162	Full House
JJ333	7161	Full House
TT333	7160	Full House
99333	7159	Full House
88333	7158	Full House
77333	7157	Full House
66333	7156	Full House
55333	7155	Full House
44333	7154	Full House
33322	7153	Full House
AA222	7152	Full House
KK222	7151	Full House
QQ222	7150	Full House
JJ222	7149	Full House
TT222	7148	Full House
99222	7147	Full House
88222	7146	Full House
77222	7145	Full House
66222	7144	Full House
55222	7143	Full House
44222	7142	Full House
33222	7141	Full House
AKQJ9	7140	Flush
AKQJ8	7139	Flush
AKQJ7	7138	Flush
AKQJ6	7137	Flush
AKQJ5	7136	Flush
AKQJ4	7135	Flush
AKQJ3	7134	Flush
AKQJ2	7133	Flush
AKQT9	7132	Flush
AKQT8	7131	Flush
AKQT7	7130	Flush
AKQT6	7129	Flush
AKQT5	7128	Flush
AKQT4	7127	Flush
AKQT3	7126	Flush
AKQT2	7125	Flush
AKQ98	7124	Flush
AKQ97	7123	Flush
AKQ96	7122	Flush
AKQ95	7121	Flush
AKQ94	7120	Flush
AKQ93	7119	Flush
AKQ92	7118	Flush
AKQ87	7117	Flush
AKQ86	7116	Flush
AKQ85	7115	Flush
AKQ84	7114	Flush
AKQ83	7113	Flush
AKQ82	7112	Flush
AKQ76	7111	Flush
AKQ75	7110	Flush
AKQ74	7109	Flush
AKQ73	7108	Flush
AKQ72	7107	Flush
AKQ65	7106	Flush
AKQ64	7105	Flush
AKQ63	7104	Flush
AKQ62	7103	Flush
AKQ54	7102	Flush
AKQ53	7101	Flush
AKQ52	7100	Flush
AKQ43	7099	Flush
AKQ42	7098	Flush
AKQ32	7097	Flush
AKJT9	7096	Flush
AKJT8	7095	Flush
AKJT7	7094	Flush
AKJT6	7093	Flush
AKJT5	7092	Flush
AKJT4	7091	Flush
AKJT3	7090	Flush
AKJT2	7089	Flush
AKJ98	7088	Flush
AKJ97	7087	Flush
AKJ96	7086	Flush
AKJ95	7085	Flush
AKJ94	7084	Flush
AKJ93	7083	Flush
AKJ92	7082	Flush
AKJ87	7081	Flush
AKJ86	7080	Flush
AKJ85	7079	Flush
AKJ84	7078	Flush
AKJ83	7077	Flush
AKJ82	7076	Flush
AKJ76	7075	Flush
AKJ75	7074	Flush
